00001,SALLE DES COMMISSIONS,971,781,2,779,80.43,19,2.44,1,0.13,8,1.03,15,1.93,8,1.03,11,1.41,245,31.45,156,20.03,272,34.92,7,0.88,1,0.13,36,4.62
00002,MATERNELLE LAKANAL,816,687,5,682,84.19,17,2.49,3,0.44,3,0.44,13,1.91,4,0.59,11,1.61,243,35.63,138,20.23,215,31.52,11,1.61,1,0.16,23,3.37
00003,ECOLE FOURTANIER,793,676,3,673,85.25,11,1.63,0,0.0,3,0.45,5,0.74,2,0.3,15,2.23,177,26.3,139,20.65,282,41.9,11,1.63,1,0.16,27,4.01
00004,ECOLE FOURTANIER,956,792,3,789,82.85,12,1.52,1,0.14,3,0.38,3,0.38,8,1.01,7,0.89,186,23.57,143,18.12,370,46.89,7,0.89,2,0.25,47,5.96
00005,ECOLE FOURTANIER,762,649,2,647,85.17,12,1.85,1,0.15,3,0.49,9,1.39,12,1.85,9,1.39,176,27.2,117,18.08,262,40.49,8,1.24,1,0.15,37,5.72
00006,ECOLE LAKANAL,955,810,6,804,84.82,16,1.99,0,0.0,5,0.62,24,2.99,15,1.87,20,2.49,336,41.79,179,22.26,182,22.64,4,0.5,1,0.11,22,2.74
00007,ECOLE LAKANAL,946,795,3,792,84.04,28,3.54,1,0.13,5,0.63,25,3.16,9,1.14,14,1.77,326,41.16,165,20.83,197,24.87,5,0.63,2,0.25,15,1.89
00008,ECOLE MICHELET,846,723,6,717,85.46,24,3.35,0,0.0,8,1.12,26,3.63,5,0.7,19,2.65,265,36.96,139,19.39,208,29.01,5,0.7,2,0.26,16,2.23
00009,ECOLE MICHELET,953,772,4,768,81.01,20,2.6,3,0.39,2,0.27,17,2.21,17,2.21,15,1.95,238,30.99,181,23.57,236,30.73,9,1.17,0,0.0,30,3.91
00010,ECOLE MICHELET,938,737,9,728,78.57,26,3.57,1,0.13,5,0.69,11,1.51,7,0.96,14,1.92,221,30.36,172,23.63,230,31.59,13,1.79,0,0.0,28,3.85
00011,ECOLE CALVINHAC,1073,910,9,901,84.81,21,2.33,0,0.0,5,0.55,20,2.22,8,0.89,20,2.22,293,32.52,169,18.76,302,33.52,9,1.0,3,0.33,51,5.66
00012,ECOLE CALVINHAC,1034,854,8,846,82.59,19,2.25,2,0.25,6,0.71,14,1.65,10,1.18,11,1.3,244,28.84,167,19.74,277,32.74,16,1.89,4,0.47,76,8.98
