00001,SALLE DES COMMISSIONS,971,770,24,746,79.3,367,49.2,379,50.8
00002,MATERNELLE LAKANAL,818,681,24,657,83.25,357,54.34,300,45.66
00003,ECOLE FOURTANIER,793,671,19,652,84.62,263,40.34,389,59.66
00004,ECOLE FOURTANIER,956,777,21,756,81.28,255,33.73,501,66.27
00005,ECOLE FOURTANIER,762,653,23,630,85.7,267,42.38,363,57.62
00006,ECOLE LAKANAL,957,796,29,767,83.18,496,64.67,271,35.33
00007,ECOLE LAKANAL,946,776,22,754,82.03,481,63.79,273,36.21
00008,ECOLE MICHELET,848,713,24,689,84.08,402,58.35,287,41.65
00009,ECOLE MICHELET,954,776,31,745,81.34,391,52.48,354,47.52
00010,ECOLE MICHELET,938,729,27,702,77.72,361,51.42,341,48.58
00011,ECOLE CALVINHAC,1074,904,33,871,84.17,437,50.17,434,49.83
00012,ECOLE CALVINHAC,1034,851,35,816,82.3,382,46.81,434,53.19
00013,ECOLE BONHOURE,960,818,20,798,85.21,507,63.53,291,36.47
00014,ECOLE BONHOURE,1086,910,35,875,83.79,471,53.83,404,46.17
00015,ECOLE BONHOURE,925,766,27,739,82.81,453,61.3,286,38.7
00016,ECOLE BONHOURE,867,747,24,723,86.16,370,51.18,353,48.82
00017,ECOLE BONHOURE,925,762,30,732,82.38,420,57.38,312,42.62
00018,ECOLE JEAN JAURES,1105,923,38,885,83.53,491,55.48,394,44.52
00019,ECOLE JEAN JAURES,982,828,23,805,84.32,387,48.07,418,51.93
00020,ECOLE JEAN JAURES,973,847,34,813,87.05,373,45.88,440,54.12
00021,ECOLE JEAN JAURES,896,754,36,718,84.15,257,35.79,461,64.21
00022,ECOLE JEAN JAURES,1036,859,28,831,82.92,418,50.3,413,49.7
00023,ECOLE PIERRE DUPONT,1023,824,25,799,80.55,532,66.58,267,33.42
00024,ECOLE PIERRE DUPONT,964,813,24,789,84.34,481,60.96,308,39.04
00025,ECOLE PIERRE DUPONT,1036,846,31,815,81.66,526,64.54,289,35.46
00026,ECOLE LAMARCK,915,765,25,740,83.61,370,50.0,370,50.0
00027,ECOLE FABRE,948,785,31,754,82.81,395,52.39,359,47.61
00028,ECOLE FABRE,1049,882,35,847,84.08,476,56.2,371,43.8
00029,ECOLE FABRE,1091,903,29,874,82.77,495,56.64,379,43.36
00030,ECOLE FABRE,927,773,33,740,83.39,306,41.35,434,58.65
00031,ECOLE FABRE,954,796,32,764,83.44,319,41.75,445,58.25
00032,CENTRE CULTUREL,802,695,21,674,86.66,220,32.64,454,67.36
00033,ECOLE LESPINASSE,987,836,33,803,84.7,495,61.64,308,38.36
00034,ECOLE LESPINASSE,914,774,30,744,84.68,480,64.52,264,35.48
00035,ECOLE LESPINASSE,1007,825,37,788,81.93,570,72.34,218,27.66
00036,ECOLE LESPINASSE,841,717,30,687,85.26,382,55.6,305,44.4
00037,ECOLE MOLIERE,844,700,22,678,82.94,402,59.29,276,40.71
00038,ECOLE MOLIERE,939,787,28,759,83.81,501,66.01,258,33.99
00039,ECOLE MOLIERE,1053,870,26,844,82.62,537,63.63,307,36.37
00040,ECOLE PATTE D OIE,1342,1117,44,1073,83.23,671,62.53,402,37.47
00041,ECOLE PATTE D OIE,995,833,24,809,83.72,500,61.8,309,38.2
00042,ECOLE PATTE D OIE,809,686,23,663,84.8,400,60.33,263,39.67
00043,ECOLE PATTE D OIE,918,754,14,740,82.14,462,62.43,278,37.57
00044,ECOLE PATTE D OIE,1008,838,39,799,83.13,497,62.2,302,37.8
00045,ECOLE ETIENNE BILLIERES,962,766,27,739,79.63,474,64.14,265,35.86
00046,ECOLE ETIENNE BILLIERES,987,839,26,813,85.01,465,57.2,348,42.8
00047,ECOLE ETIENNE BILLIERES,969,824,32,792,85.04,485,61.24,307,38.76
00048,ECOLE ETIENNE BILLIERES,968,784,23,761,80.99,487,63.99,274,36.01
00049,ECOLE DES GAIS PINSONS,574,468,14,454,81.53,281,61.89,173,38.11
00050,ECOLE FONTAINE BAYONNE,948,805,22,783,84.92,496,63.35,287,36.65
00051,ECOLE FONTAINE BAYONNE,1010,852,54,798,84.36,497,62.28,301,37.72
00052,ECOLE FONTAINE BAYONNE,1017,846,37,809,83.19,463,57.23,346,42.77
00053,ECOLE AMIDONNIERS,1017,852,33,819,83.78,501,61.17,318,38.83
00054,ECOLE AMIDONNIERS,937,785,25,760,83.78,483,63.55,277,36.45
00055,ECOLE AMIDONNIERS,979,833,23,810,85.09,521,64.32,289,35.68
00056,ECOLE SUPERIEURE DE COMMERCE,993,855,25,830,86.1,475,57.23,355,42.77
00057,FOYER DU 3 EME  AGE,633,519,20,499,81.99,261,52.3,238,47.7
00058,ECOLE CLAUDE NOUGARO,1233,1005,39,966,81.51,612,63.35,354,36.65
00059,ECOLE CLAUDE NOUGARO,1025,873,28,845,85.17,515,60.95,330,39.05
00060,ECOLE CLAUDE NOUGARO,877,716,26,690,81.64,385,55.8,305,44.2
00061,ECOLE ALFRED DE MUSSET,828,677,35,642,81.76,387,60.28,255,39.72
00062,ECOLE ALFRED DE MUSSET,1004,813,30,783,80.98,465,59.39,318,40.61
00063,ECOLE ALFRED DE MUSSET,757,582,26,556,76.88,344,61.87,212,38.13
00064,MATERNELLE DU BEARNAIS,1002,850,37,813,84.83,455,55.97,358,44.03
00065,MATERNELLE DU BEARNAIS,892,748,18,730,83.86,403,55.21,327,44.79
00066,ECOLE FALGUIERE,781,645,15,630,82.59,350,55.56,280,44.44
00067,ECOLE FALGUIERE,900,764,31,733,84.89,434,59.21,299,40.79
00068,ECOLE DES SEPT DENIERS,947,788,27,761,83.21,419,55.06,342,44.94
