00001,SALLE DES COMMISSIONS,1002,763,7,756,76.15,54,7.14,54,7.14,233,30.82,102,13.49,9,1.19,1,0.14,0,0.0,59,7.8,13,1.72,231,30.56
00002,MATERNELLE LAKANAL,925,742,12,730,80.22,49,6.71,44,6.03,229,31.37,110,15.07,4,0.53,1,0.14,1,0.14,71,9.73,7,0.96,214,29.32
00003,ECOLE FOURTANIER,831,652,9,643,78.46,18,2.8,42,6.53,261,40.59,76,11.82,3,0.47,0,0.0,1,0.16,64,9.95,6,0.93,172,26.75
00004,ECOLE FOURTANIER,917,728,11,717,79.39,20,2.79,59,8.23,340,47.42,59,8.23,5,0.7,1,0.13,0,0.0,70,9.76,7,0.98,156,21.76
00005,ECOLE FOURTANIER,771,621,2,619,80.54,18,2.91,43,6.95,250,40.39,52,8.4,6,0.97,2,0.32,4,0.65,67,10.82,8,1.29,169,27.3
00006,ECOLE LAKANAL,1038,787,7,780,75.82,65,8.33,38,4.87,168,21.54,142,18.21,7,0.9,3,0.38,1,0.13,78,10.0,5,0.64,273,35.0
00007,ECOLE LAKANAL,887,676,5,671,76.21,49,7.3,26,3.87,174,25.93,117,17.44,9,1.34,0,0.0,0,0.0,71,10.58,7,1.05,218,32.49
00008,ECOLE MICHELET,896,711,6,704,79.35,49,6.96,35,4.97,183,25.99,122,17.33,5,0.71,4,0.57,2,0.3,61,8.66,6,0.85,237,33.66
00009,ECOLE MICHELET,929,719,7,712,77.4,38,5.34,38,5.34,224,31.46,101,14.19,5,0.7,1,0.14,1,0.14,72,10.11,6,0.84,226,31.74
00010,ECOLE MICHELET,947,714,10,704,75.4,40,5.68,54,7.67,210,29.83,79,11.22,7,0.99,3,0.43,4,0.57,68,9.66,5,0.71,234,33.24
00011,ECOLE CALVINHAC,1092,886,8,878,81.14,46,5.24,61,6.95,322,36.67,125,14.24,6,0.68,1,0.11,4,0.46,79,9.0,5,0.57,229,26.08
00012,ECOLE CALVINHAC,1101,835,17,818,75.84,24,2.93,117,14.3,237,28.97,98,11.98,6,0.73,2,0.26,3,0.37,73,8.92,7,0.86,251,30.68
00013,ECOLE BONHOURE,1048,816,11,805,77.86,70,8.7,54,6.71,171,21.24,150,18.63,8,0.99,2,0.25,0,0.0,60,7.45,7,0.87,283,35.16
00014,ECOLE BONHOURE,978,795,8,787,81.29,52,6.61,46,5.84,254,32.27,117,14.87,6,0.76,0,0.0,1,0.14,74,9.4,7,0.89,230,29.22
00015,ECOLE BONHOURE,1041,827,10,817,79.44,60,7.34,59,7.22,183,22.4,141,17.26,6,0.73,0,0.0,2,0.25,73,8.94,8,0.98,285,34.88
