BUREAU,NOM BUREAU,Inscrits,Votants,Nuls,Exprimes,Taux de participation,HOLLANDE (voix),HOLLANDE (taux),SARKOZY (voix),SARKOZY (taux)
00001,SALLE DES COMMISSIONS,1002,766,24,742,76.45,425,57.28,317,42.72
00002,MATERNELLE LAKANAL,927,744,30,714,80.26,410,57.42,304,42.58
00003,ECOLE FOURTANIER,832,637,23,614,76.56,284,46.25,330,53.75
00004,ECOLE FOURTANIER,918,731,22,709,79.63,264,37.24,445,62.76
00005,ECOLE FOURTANIER,771,621,25,597,80.54,269,45.06,328,54.94
00006,ECOLE LAKANAL,1040,782,36,746,75.19,494,66.22,252,33.78
00007,ECOLE LAKANAL,887,659,13,646,74.3,404,62.54,242,37.46
00008,ECOLE MICHELET,899,720,25,695,80.09,441,63.45,254,36.55
00009,ECOLE MICHELET,929,718,23,695,77.29,407,58.56,288,41.44
00010,ECOLE MICHELET,947,702,30,672,74.13,369,54.91,303,45.09
00011,ECOLE CALVINHAC,1093,879,25,854,80.42,440,51.52,414,48.48
00012,ECOLE CALVINHAC,1101,833,48,785,75.66,412,52.48,373,47.52
00013,ECOLE BONHOURE,1049,839,28,811,79.98,555,68.43,256,31.57
00014,ECOLE BONHOURE,978,782,29,753,79.96,418,55.51,335,44.49
00015,ECOLE BONHOURE,1041,820,23,797,78.77,508,63.74,289,36.26
00016,ECOLE BONHOURE,946,769,28,741,81.29,429,57.89,312,42.11
00017,ECOLE BONHOURE,960,764,28,736,79.58,423,57.47,313,42.53
00018,ECOLE JEAN JAURES,1162,904,31,873,77.8,521,59.68,352,40.32
00019,ECOLE JEAN JAURES,1089,855,34,821,78.51,427,52.01,394,47.99
00020,ECOLE JEAN JAURES,982,811,24,787,82.59,384,48.79,403,51.21
00021,ECOLE JEAN JAURES,911,751,25,726,82.44,289,39.81,437,60.19
00022,ECOLE JEAN JAURES,1036,801,13,788,77.32,418,53.05,370,46.95
00023,ECOLE PIERRE DUPONT,1150,864,34,830,75.13,615,74.1,215,25.9
00024,ECOLE PIERRE DUPONT,1014,774,31,743,76.33,491,66.08,252,33.92
00025,ECOLE PIERRE DUPONT,1041,769,27,742,73.87,510,68.73,232,31.27
00027,ECOLE FABRE,1058,829,34,795,78.36,404,50.82,391,49.18
00028,ECOLE FABRE,1028,812,26,786,78.99,440,55.98,346,44.02
00029,ECOLE FABRE,1113,862,28,834,77.45,475,56.95,359,43.05
00030,ECOLE FABRE,955,741,19,723,77.59,314,43.43,409,56.57
00031,ECOLE FABRE,962,764,22,742,79.42,313,42.18,429,57.82
00032,CENTRE CULTUREL,789,667,26,641,84.54,223,34.79,418,65.21
00033,ECOLE LESPINASSE,1025,810,37,773,79.02,530,68.56,243,31.44
00034,ECOLE LESPINASSE,940,752,35,717,80.0,511,71.27,206,28.73
00035,ECOLE LESPINASSE,1035,810,29,781,78.26,580,74.26,201,25.74
00036,ECOLE LESPINASSE,812,626,29,597,77.09,372,62.31,225,37.69
00037,ECOLE MOLIERE,873,672,29,643,76.98,425,66.1,218,33.9
00038,ECOLE MOLIERE,920,713,36,677,77.5,477,70.46,200,29.54
00039,ECOLE MOLIERE,1097,862,26,836,78.58,556,66.51,280,33.49
00040,ECOLE PATTE D OIE,1218,923,41,882,75.78,629,71.32,253,28.68
00041,ECOLE PATTE D OIE,946,756,35,721,79.92,487,67.55,234,32.45
00042,ECOLE PATTE D OIE,950,741,34,707,78.0,422,59.69,285,40.31
00043,ECOLE PATTE D OIE,993,788,33,755,79.36,485,64.24,270,35.76
00044,ECOLE PATTE D OIE,968,758,37,721,78.31,486,67.41,235,32.59
00045,ECOLE ETIENNE BILLIERES,1030,729,37,692,70.78,499,72.11,193,27.89
00046,ECOLE ETIENNE BILLIERES,987,793,24,769,80.34,499,64.89,270,35.11
00047,ECOLE ETIENNE BILLIERES,1026,828,32,796,80.7,559,70.23,237,29.77
00048,ECOLE ETIENNE BILLIERES,1012,752,24,728,74.31,514,70.6,214,29.4
00049,ECOLE DES GAIS PINSONS,698,564,20,544,80.8,403,74.08,141,25.92
00050,ECOLE FONTAINE BAYONNE,987,781,43,738,79.13,495,67.07,243,32.93
00051,ECOLE FONTAINE BAYONNE,1198,930,52,878,77.63,609,69.36,269,30.64
00052,ECOLE FONTAINE BAYONNE,1060,790,38,752,74.53,468,62.23,284,37.77
00053,ECOLE AMIDONNIERS,1052,832,31,801,79.09,506,63.17,295,36.83
00054,ECOLE AMIDONNIERS,960,742,50,692,77.29,466,67.34,226,32.66
00055,ECOLE AMIDONNIERS,1050,833,24,809,79.33,554,68.48,255,31.52
00056,ECOLE SUPERIEURE DE COMMERCE,1056,816,20,796,77.27,486,61.06,310,38.94
00057,FOYER DU 3 EME  AGE,645,494,16,478,76.59,271,56.69,207,43.31
00058,ECOLE CLAUDE NOUGARO,1162,875,34,841,75.3,558,66.35,283,33.65
00059,ECOLE CLAUDE NOUGARO,1111,897,48,850,80.74,544,64.0,306,36.0
00060,ECOLE CLAUDE NOUGARO,1097,843,22,821,76.85,544,66.26,277,33.74
00061,ECOLE ALFRED DE MUSSET,869,684,32,652,78.71,430,65.95,222,34.05
