Bureau,Nom Bureau,variation exprimes,variation PS,variation UMP,variation vote nul
00001,SALLE DES COMMISSIONS,-4,58,-62,0
00002,MATERNELLE LAKANAL,57,53,4,6
00003,ECOLE FOURTANIER,-38,21,-59,4
00004,ECOLE FOURTANIER,-47,9,-56,1
00005,ECOLE FOURTANIER,-33,2,-35,2
00006,ECOLE LAKANAL,-21,-2,-19,7
00007,ECOLE LAKANAL,-108,-77,-31,-9
00008,ECOLE MICHELET,6,39,-33,1
00009,ECOLE MICHELET,-50,16,-66,-8
00010,ECOLE MICHELET,-30,8,-38,3
00011,ECOLE CALVINHAC,-17,3,-20,-8
00012,ECOLE CALVINHAC,-31,30,-61,13
00013,ECOLE BONHOURE,13,48,-35,8
00014,ECOLE BONHOURE,-122,-53,-69,-6
00015,ECOLE BONHOURE,58,55,3,-4
00016,ECOLE BONHOURE,18,59,-41,4
00017,ECOLE BONHOURE,4,3,1,-2
00018,ECOLE JEAN JAURES,-12,30,-42,-7
00019,ECOLE JEAN JAURES,16,40,-24,11
00020,ECOLE JEAN JAURES,-26,11,-37,-10
00021,ECOLE JEAN JAURES,8,32,-24,-11
00022,ECOLE JEAN JAURES,-43,0,-43,-15
00023,ECOLE PIERRE DUPONT,31,83,-52,9
00024,ECOLE PIERRE DUPONT,-46,10,-56,7
00025,ECOLE PIERRE DUPONT,-73,-16,-57,-4
00027,ECOLE FABRE,41,9,32,3
00028,ECOLE FABRE,-61,-36,-25,-9
00029,ECOLE FABRE,-40,-20,-20,-1
00030,ECOLE FABRE,-17,8,-25,-14
00031,ECOLE FABRE,-22,-6,-16,-10
00032,CENTRE CULTUREL,-33,3,-36,5
00033,ECOLE LESPINASSE,-30,35,-65,4
00034,ECOLE LESPINASSE,-27,31,-58,5
00035,ECOLE LESPINASSE,-7,10,-17,-8
00036,ECOLE LESPINASSE,-90,-10,-80,-1
00037,ECOLE MOLIERE,-35,23,-58,7
00038,ECOLE MOLIERE,-82,-24,-58,8
00039,ECOLE MOLIERE,-8,19,-27,0
00040,ECOLE PATTE D OIE,-191,-42,-149,-3
00041,ECOLE PATTE D OIE,-88,-13,-75,11
00042,ECOLE PATTE D OIE,44,22,22,11
00043,ECOLE PATTE D OIE,15,23,-8,19
00044,ECOLE PATTE D OIE,-78,-11,-67,-2
00045,ECOLE ETIENNE BILLIERES,-47,25,-72,10
