00001,SALLE DES COMMISSIONS,1002,763,7,756,76 %,54,7,54,7,233,30,102,13,9,1,1,0,0,0,59,7,13,1,231,30
00002,MATERNELLE LAKANAL,925,742,12,730,80 %,49,6,44,6,229,31,110,15,4,0,1,0,1,0,71,9,7,0,214,29
00003,ECOLE FOURTANIER,831,652,9,643,78 %,18,2,42,6,261,40,76,11,3,0,0,0,1,0,64,9,6,0,172,26
00004,ECOLE FOURTANIER,917,728,11,717,79 %,20,2,59,8,340,47,59,8,5,0,1,0,0,0,70,9,7,0,156,21
00005,ECOLE FOURTANIER,771,621,2,619,80 %,18,2,43,6,250,40,52,8,6,0,2,0,4,0,67,10,8,1,169,27
00006,ECOLE LAKANAL,1038,787,7,780,75 %,65,8,38,4,168,21,142,18,7,0,3,0,1,0,78,10,5,0,273,35
00007,ECOLE LAKANAL,887,676,5,671,76 %,49,7,26,3,174,25,117,17,9,1,0,0,0,0,71,10,7,1,218,32
00008,ECOLE MICHELET,896,711,6,704,79 %,49,6,35,4,183,25,122,17,5,0,4,0,2,0,61,8,6,0,237,33
00009,ECOLE MICHELET,929,719,7,712,77 %,38,5,38,5,224,31,101,14,5,0,1,0,1,0,72,10,6,0,226,31
00010,ECOLE MICHELET,947,714,10,704,75 %,40,5,54,7,210,29,79,11,7,0,3,0,4,0,68,9,5,0,234,33
00011,ECOLE CALVINHAC,1092,886,8,878,81 %,46,5,61,6,322,36,125,14,6,0,1,0,4,0,79,9,5,0,229,26
00012,ECOLE CALVINHAC,1101,835,17,818,75 %,24,2,117,14,237,28,98,11,6,0,2,0,3,0,73,8,7,0,251,30
00013,ECOLE BONHOURE,1048,816,11,805,77 %,70,8,54,6,171,21,150,18,8,0,2,0,0,0,60,7,7,0,283,35
00014,ECOLE BONHOURE,978,795,8,787,81 %,52,6,46,5,254,32,117,14,6,0,0,0,1,0,74,9,7,0,230,29
00015,ECOLE BONHOURE,1041,827,10,817,79 %,60,7,59,7,183,22,141,17,6,0,0,0,2,0,73,8,8,0,285,34
00016,ECOLE BONHOURE,946,759,8,751,80 %,42,5,56,7,225,29,103,13,7,0,3,0,3,0,68,9,14,1,230,30
00017,ECOLE BONHOURE,960,765,4,761,79 %,32,4,71,9,211,27,129,16,3,0,2,0,1,0,67,8,20,2,225,29
00018,ECOLE JEAN JAURES,1159,922,12,910,79 %,37,4,68,7,257,28,155,17,9,0,1,0,3,0,76,8,15,1,289,31
00019,ECOLE JEAN JAURES,1087,866,7,859,79 %,45,5,57,6,284,33,120,13,13,1,0,0,0,0,99,11,11,1,230,26
00020,ECOLE JEAN JAURES,981,816,10,804,83 %,49,6,44,5,320,39,99,12,4,0,0,0,2,0,81,10,6,0,199,24
00021,ECOLE JEAN JAURES,911,757,5,752,83 %,30,3,49,6,350,46,73,9,4,0,0,0,1,0,79,10,9,1,157,20
00022,ECOLE JEAN JAURES,1035,807,12,795,77 %,35,4,45,5,285,35,97,12,12,1,1,0,3,0,78,9,3,0,236,29
00023,ECOLE PIERRE DUPONT,1149,894,14,880,77 %,51,5,66,7,141,16,149,16,21,2,4,0,4,0,83,9,11,1,350,39
00024,ECOLE PIERRE DUPONT,1011,786,5,781,77 %,52,6,40,5,172,22,142,18,8,1,2,0,0,0,86,11,9,1,270,34
00025,ECOLE PIERRE DUPONT,1035,778,9,769,75 %,48,6,46,5,165,21,151,19,14,1,1,0,3,0,72,9,9,1,260,33
00027,ECOLE FABRE,1056,846,13,833,80 %,55,6,53,6,290,34,132,15,5,0,5,0,0,0,87,10,12,1,194,23
00028,ECOLE FABRE,1027,794,6,789,77 %,44,5,55,6,224,28,133,16,7,0,1,0,1,0,95,12,4,0,225,28
00029,ECOLE FABRE,1111,867,4,863,78 %,62,7,46,5,252,29,116,13,8,0,3,0,8,0,110,12,7,0,251,29
00030,ECOLE FABRE,954,746,11,735,78 %,28,3,46,6,332,45,70,9,4,0,2,0,2,0,64,8,7,0,180,24
00031,ECOLE FABRE,958,744,5,739,77 %,26,3,48,6,318,43,69,9,4,0,1,0,5,0,77,10,5,0,186,25
00032,CENTRE CULTUREL,789,671,3,668,85 %,23,3,53,7,331,49,49,7,1,0,4,0,2,0,63,9,10,1,132,19
00033,ECOLE LESPINASSE,1025,817,13,804,79 %,49,6,69,8,154,19,135,16,10,1,2,0,1,0,58,7,15,1,311,38
00034,ECOLE LESPINASSE,938,763,6,757,81 %,42,5,63,8,137,18,133,17,13,1,5,0,1,0,74,9,9,1,280,36
00035,ECOLE LESPINASSE,1032,810,7,803,78 %,64,7,46,5,136,16,166,20,14,1,2,0,0,0,67,8,5,0,303,37
00036,ECOLE LESPINASSE,811,617,7,610,76 %,33,5,61,10,135,22,103,16,4,0,3,0,0,0,64,10,9,1,198,32
00037,ECOLE MOLIERE,869,674,6,668,77 %,54,8,58,8,140,20,107,16,19,2,3,0,2,0,55,8,7,1,223,33
